year,month,store_id,product_id,category,total_units_sold,avg_inventory_held,turnover_ratio
2022,1,S001,P0016,Clothing,3890,169.0,23.0
2022,1,S001,P0017,Toys,2812,139.0,20.0
2022,1,S001,P0031,Electronics,2997,142.0,21.0
2022,1,S001,P0046,Clothing,3681,161.0,22.0
2022,1,S001,P0057,Clothing,4054,181.0,22.0
2022,1,S001,P0061,Clothing,3760,169.0,22.0
2022,1,S001,P0066,Clothing,4022,174.0,23.0
2022,1,S001,P0067,Furniture,2764,127.0,21.0
2022,1,S001,P0068,Electronics,2540,127.0,20.0
2022,1,S001,P0069,Clothing,3886,171.0,22.0
2022,1,S001,P0070,Electronics,2672,137.0,19.0
2022,1,S001,P0079,Furniture,2716,135.0,20.0
2022,1,S001,P0083,Toys,3302,153.0,21.0
2022,1,S001,P0085,Electronics,2700,123.0,21.0
2022,1,S001,P0094,Groceries,2842,149.0,19.0
2022,1,S001,P0096,Toys,3082,146.0,21.0
2022,1,S001,P0116,Furniture,2821,132.0,21.0
2022,1,S001,P0125,Clothing,4175,176.0,23.0
2022,1,S001,P0126,Clothing,4180,178.0,23.0
2022,1,S001,P0129,Furniture,2914,149.0,19.0
2022,1,S001,P0133,Clothing,3974,173.0,22.0
2022,1,S001,P0149,Furniture,3005,143.0,21.0
2022,1,S001,P0153,Furniture,2453,130.0,18.0
2022,1,S001,P0159,Electronics,3056,150.0,20.0
2022,1,S001,P0166,Groceries,2899,140.0,20.0
2022,1,S001,P0171,Electronics,3032,141.0,21.0
2022,1,S001,P0175,Electronics,2490,122.0,20.0
2022,1,S001,P0178,Clothing,3614,164.0,22.0
2022,1,S001,P0183,Electronics,2923,144.0,20.0
2022,1,S001,P0187,Clothing,4214,195.0,21.0
2022,1,S002,P0016,Clothing,3954,169.0,23.0
2022,1,S002,P0017,Toys,2987,136.0,21.0
2022,1,S002,P0031,Electronics,2944,135.0,21.0
2022,1,S002,P0046,Clothing,4086,187.0,21.0
2022,1,S002,P0057,Clothing,4167,180.0,23.0
2022,1,S002,P0061,Clothing,3825,170.0,22.0
2022,1,S002,P0066,Clothing,3861,176.0,21.0
2022,1,S002,P0067,Furniture,2881,143.0,20.0
2022,1,S002,P0068,Electronics,2656,130.0,20.0
2022,1,S002,P0069,Clothing,3948,171.0,23.0
2022,1,S002,P0070,Electronics,2694,138.0,19.0
2022,1,S002,P0079,Furniture,2567,137.0,18.0
2022,1,S002,P0083,Toys,3030,147.0,20.0
2022,1,S002,P0085,Electronics,2549,135.0,18.0
2022,1,S002,P0094,Groceries,2809,136.0,20.0
2022,1,S002,P0096,Toys,2820,141.0,20.0
2022,1,S002,P0116,Furniture,2655,135.0,19.0
2022,1,S002,P0125,Clothing,4197,189.0,22.0
2022,1,S002,P0126,Clothing,3785,174.0,21.0
2022,1,S002,P0129,Furniture,2650,135.0,19.0
2022,1,S002,P0133,Clothing,3986,170.0,23.0
2022,1,S002,P0149,Furniture,2998,147.0,20.0
2022,1,S002,P0153,Furniture,2933,150.0,19.0
2022,1,S002,P0159,Electronics,2802,130.0,21.0
2022,1,S002,P0166,Groceries,2909,134.0,21.0
2022,1,S002,P0171,Electronics,3011,145.0,20.0
2022,1,S002,P0175,Electronics,2550,129.0,19.0
2022,1,S002,P0178,Clothing,4082,187.0,21.0
2022,1,S002,P0183,Electronics,2637,137.0,19.0
2022,1,S002,P0187,Clothing,3612,163.0,22.0
2022,1,S003,P0016,Clothing,4025,189.0,21.0
2022,1,S003,P0017,Toys,2513,130.0,19.0
2022,1,S003,P0031,Electronics,2923,147.0,19.0
2022,1,S003,P0046,Clothing,4129,185.0,22.0
2022,1,S003,P0057,Clothing,3887,176.0,22.0
2022,1,S003,P0061,Clothing,3843,164.0,23.0
2022,1,S003,P0066,Clothing,3757,167.0,22.0
2022,1,S003,P0067,Furniture,2742,127.0,21.0
2022,1,S003,P0068,Electronics,2528,127.0,19.0
2022,1,S003,P0069,Clothing,4450,196.0,22.0
2022,1,S003,P0070,Electronics,2660,135.0,19.0
2022,1,S003,P0079,Furniture,2899,139.0,20.0
2022,1,S003,P0083,Toys,3069,144.0,21.0
2022,1,S003,P0085,Electronics,2895,137.0,21.0
2022,1,S003,P0094,Groceries,2918,135.0,21.0
2022,1,S003,P0096,Toys,2743,140.0,19.0
2022,1,S003,P0116,Furniture,2859,146.0,19.0
2022,1,S003,P0125,Clothing,4176,188.0,22.0
2022,1,S003,P0126,Clothing,4059,180.0,22.0
2022,1,S003,P0129,Furniture,2774,129.0,21.0
2022,1,S003,P0133,Clothing,4087,187.0,21.0
2022,1,S003,P0149,Furniture,3012,139.0,21.0
2022,1,S003,P0153,Furniture,2995,149.0,20.0
2022,1,S003,P0159,Electronics,2813,148.0,19.0
2022,1,S003,P0166,Groceries,2659,130.0,20.0
2022,1,S003,P0171,Electronics,2794,140.0,19.0
2022,1,S003,P0175,Electronics,2872,132.0,21.0
2022,1,S003,P0178,Clothing,4218,197.0,21.0
2022,1,S003,P0183,Electronics,2462,131.0,18.0
2022,1,S003,P0187,Clothing,4360,184.0,23.0
2022,1,S004,P0016,Clothing,4091,179.0,22.0
2022,1,S004,P0017,Toys,2853,138.0,20.0
2022,1,S004,P0031,Electronics,2851,156.0,18.0
2022,1,S004,P0046,Clothing,3938,183.0,21.0
2022,1,S004,P0057,Clothing,3929,185.0,21.0
2022,1,S004,P0061,Clothing,3959,183.0,21.0
2022,1,S004,P0066,Clothing,3777,173.0,21.0
2022,1,S004,P0067,Furniture,3034,148.0,20.0
2022,1,S004,P0068,Electronics,2548,125.0,20.0
2022,1,S004,P0069,Clothing,3988,187.0,21.0
