Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
01/01/24,S001,P0096,Toys,East,201,78,51,79.17,75.97,15,Sunny,0,72.63,Winter
01/01/24,S001,P0016,Clothing,East,224,39,37,32.43,100.62,10,Snowy,0,101.85,Winter
01/01/24,S001,P0031,Electronics,East,129,30,49,33.08,121.22,15,Rainy,0,119.72,Winter
01/01/24,S001,P0159,Electronics,East,90,19,76,16.41,86.66,0,Sunny,0,88.68,Winter
01/01/24,S001,P0129,Furniture,East,109,103,111,109.63,109.08,10,Cloudy,1,108.59,Winter
01/01/24,S001,P0116,Furniture,East,246,52,5,49.2,103.43,20,Cloudy,0,101.39,Winter
01/01/24,S001,P0070,Electronics,East,172,109,113,115.44,179.01,15,Sunny,0,174.83,Winter
01/01/24,S001,P0171,Electronics,East,189,145,95,171.05,177.32,10,Rainy,0,176.81,Winter
01/01/24,S001,P0175,Electronics,East,284,135,4,150.83,119.58,10,Sunny,0,119.72,Winter
01/01/24,S001,P0046,Clothing,East,57,24,135,22.13,144.16,15,Rainy,0,147.06,Winter
01/01/24,S001,P0067,Furniture,East,286,105,16,93.19,82.86,10,Sunny,0,82.67,Winter
01/01/24,S001,P0183,Electronics,East,173,11,15,11.25,76.25,20,Snowy,0,77.47,Winter
01/01/24,S001,P0166,Groceries,East,190,124,77,107.42,95.06,0,Snowy,0,97.0,Winter
01/01/24,S001,P0079,Furniture,East,35,5,70,6.0,90.89,20,Cloudy,0,95.04,Winter
01/01/24,S001,P0187,Clothing,East,213,62,57,61.87,139.56,0,Rainy,0,141.04,Winter
01/01/24,S001,P0178,Clothing,East,178,55,128,48.96,103.33,15,Cloudy,1,98.98,Winter
01/01/24,S001,P0057,Clothing,East,76,13,19,11.53,140.02,5,Cloudy,0,146.36,Winter
01/01/24,S001,P0153,Furniture,East,31,1,126,0.91,76.47,5,Sunny,1,72.75,Winter
01/01/24,S001,P0083,Toys,East,207,99,93,101.65,105.13,5,Snowy,0,104.97,Winter
01/01/24,S001,P0069,Clothing,East,234,71,144,58.54,227.82,20,Snowy,1,220.58,Winter
01/01/24,S001,P0125,Clothing,East,217,2,47,1.68,142.63,5,Sunny,1,146.2,Winter
01/01/24,S001,P0017,Toys,East,139,29,114,33.75,106.09,15,Snowy,1,109.01,Winter
01/01/24,S001,P0149,Furniture,East,152,69,124,71.86,135.6,5,Cloudy,1,129.14,Winter
01/01/24,S001,P0094,Groceries,East,45,19,134,15.98,180.48,5,Snowy,0,184.07,Winter
01/01/24,S001,P0066,Clothing,East,165,9,69,9.67,152.56,20,Sunny,0,154.71,Winter
01/01/24,S001,P0061,Clothing,East,274,125,139,147.18,184.3,5,Sunny,0,193.21,Winter
01/01/24,S001,P0085,Electronics,East,67,54,35,49.49,142.01,5,Snowy,1,145.89,Winter
01/01/24,S001,P0068,Electronics,East,236,42,79,39.53,108.52,0,Sunny,0,107.67,Winter
01/01/24,S001,P0126,Clothing,East,94,16,69,19.07,159.52,5,Snowy,0,157.54,Winter
01/01/24,S001,P0133,Clothing,East,204,95,1,108.15,199.43,20,Snowy,0,204.49,Winter
01/01/24,S002,P0096,Toys,West,206,22,138,22.68,79.72,10,Snowy,1,80.35,Winter
01/01/24,S002,P0016,Clothing,West,254,123,124,98.68,95.04,15,Sunny,0,92.28,Winter
01/01/24,S002,P0031,Electronics,West,157,64,47,57.94,107.69,15,Rainy,0,111.83,Winter
01/01/24,S002,P0159,Electronics,West,230,79,108,75.49,82.06,0,Snowy,0,78.93,Winter
01/01/24,S002,P0129,Furniture,West,101,22,6,25.4,133.86,15,Rainy,0,137.89,Winter
01/01/24,S002,P0116,Furniture,West,28,21,97,22.83,116.04,15,Snowy,0,112.34,Winter
01/01/24,S002,P0070,Electronics,West,48,36,135,30.34,152.2,15,Sunny,0,150.68,Winter
01/01/24,S002,P0171,Electronics,West,111,38,103,45.27,136.54,0,Cloudy,1,141.19,Winter
01/01/24,S002,P0175,Electronics,West,182,71,103,65.4,136.34,10,Snowy,1,140.83,Winter
